Wavelength[nm],R,G1,G2,B
360,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
361,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
362,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
363,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
364,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
365,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
366,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
367,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
368,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
369,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
370,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
371,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
372,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
373,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
374,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
375,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
376,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
377,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
378,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
379,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
380,0.0016531088657359663,0.003910565414601192,0.00379181242030561,0.0036162269430027715
381,0.0019259698187952502,0.004335768441632926,0.00419659923890707,0.004105702190334287
382,0.002198830771854534,0.00476097146866466,0.004601386057508531,0.004595177437665801
383,0.002471691724913818,0.005186174495696394,0.005006172876109991,0.005084652684997316
384,0.00332124091869615,0.006448310675819575,0.006266854960101145,0.006930553813376312
385,0.004170790112478482,0.007710446855942757,0.007527537044092299,0.008776454941755309
386,0.005020339306260814,0.00897258303606594,0.008788219128083453,0.010622356070134304
387,0.00819404751040369,0.01399478978681366,0.013624239198445645,0.01886181365268747
388,0.011367755714546564,0.019016996537561382,0.018460259268807837,0.02710127123524064
389,0.014541463918689438,0.024039203288309104,0.023296279339170025,0.03534072881779381
390,0.02352171445946486,0.03924501617610056,0.037924166309376436,0.0632356403089484
391,0.03250196500024028,0.05445082906389201,0.05255205327958285,0.09113055180010302
392,0.0414822155410157,0.06965664195168346,0.06717994024978927,0.11902546329125761
393,0.05021655523315751,0.08577262852583345,0.08248970847430567,0.15376349782178106
394,0.05895089492529933,0.10188861509998343,0.0977994766988221,0.18850153235230452
395,0.06768523461744114,0.11800460167413342,0.1131092449233385,0.22323956688282798
396,0.06809460431698497,0.12076848237289596,0.11554604228004105,0.2390428118017766
397,0.06850397401652882,0.12353236307165852,0.11798283963674358,0.25484605672072524
398,0.06891334371607265,0.12629624377042106,0.12041963699344613,0.2706493016396739
399,0.06722403422424925,0.12532155178618862,0.1190607159688731,0.28271506297406845
400,0.06553472473242584,0.12434685980195616,0.1177017949443001,0.294780824308463
401,0.06384541524060244,0.1233721678177237,0.11634287391972707,0.30684658564285755
402,0.06184944662201948,0.12141202508959782,0.11403057694152681,0.3172147550584643
403,0.059853478003436524,0.11945188236147196,0.11171827996332655,0.327582924474071
404,0.05785750938485356,0.11749173963334608,0.10940598298512628,0.33795109388967776
405,0.0563739407244854,0.11639381997512745,0.10814590250952846,0.3477491114241762
406,0.054890372064117246,0.1152959003169088,0.10688582203393066,0.3575471289586747
407,0.053406803403749085,0.11419798065869016,0.10562574155833283,0.3673451464931731
408,0.05190103387334456,0.11337755743636539,0.10463016569168619,0.3750913387889389
409,0.05039526434294005,0.11255713421404062,0.10363458982503956,0.38283753108470475
410,0.048889494812535524,0.11173671099171585,0.10263901395839292,0.39058372338047054
411,0.04742419952855251,0.11079561689869623,0.10156145523370602,0.39662105123721075
412,0.0459589042445695,0.10985452280567662,0.10048389650901911,0.402658379093951
413,0.04449360896058648,0.108913428712657,0.09940633778433221,0.40869570695069124
414,0.043024446414787546,0.10741685818139994,0.09784677544982134,0.411715695879654
415,0.041555283868988616,0.10592028765014287,0.09628721311531047,0.4147356848086168
416,0.04008612132318968,0.10442371711888582,0.0947276507807996,0.41775567373757955
417,0.03884537961261303,0.10265119687289485,0.0929683788087519,0.4201393464607192
418,0.037604637902036386,0.1008786766269039,0.09120910683670419,0.42252301918385893
419,0.03636389619145974,0.09910615638091294,0.08944983486465649,0.4249066919069986
420,0.03546447270587386,0.09727830520840855,0.08753370326603074,0.4302539792158133
421,0.03456504922028799,0.09545045403590414,0.08561757166740498,0.435601266524628
422,0.033665625734702116,0.09362260286339975,0.08370144006877923,0.4409485538334427
423,0.032734769323410816,0.09129980553345507,0.08134107705415941,0.4470169345405034
424,0.03180391291211951,0.08897700820351039,0.07898071403953959,0.4530853152475641
425,0.030873056500828208,0.0866542108735657,0.07662035102491976,0.4591536959546248
426,0.030037661398979378,0.08488817095171558,0.07487932284869409,0.46342964261602976
427,0.029202266297130547,0.08312213102986546,0.07313829467246842,0.46770558927743466
428,0.028366871195281716,0.08135609110801534,0.07139726649624274,0.4719815359388396
429,0.027776795747164084,0.08108596948456225,0.07113059461849942,0.474344690212346
430,0.02718672029904645,0.08081584786110915,0.07086392274075612,0.4767078444858524
431,0.026596644850928816,0.08054572623765606,0.0705972508630128,0.47907099875935877
432,0.026047843001255566,0.08169304154849094,0.07175280270747758,0.48075516884310654
433,0.025499041151582313,0.08284035685932584,0.07290835455194236,0.4824393389268543
434,0.024950239301909063,0.08398767217016072,0.07406390639640714,0.4841235090106021
435,0.024583265558136624,0.0864981599171649,0.07654587441134074,0.4892109173670956
436,0.02421629181436418,0.08900864766416909,0.07902784242627435,0.49429832572358917
437,0.023849318070591742,0.09151913541117328,0.08150981044120795,0.4993857340800827
438,0.0234619242919507,0.09440196755756229,0.08433666167458613,0.5054882211980072
439,0.023074530513309655,0.09728479970395129,0.08716351290796433,0.5115907083159318
440,0.02268713673466861,0.1001676318503403,0.08999036414134251,0.5176931954338563
441,0.022141653042936166,0.10188055420956979,0.09177907833412277,0.5191276794510277
442,0.021596169351203717,0.10359347656879928,0.09356779252690305,0.5205621634681992
443,0.021050685659471272,0.10530639892802876,0.0953565067196833,0.5219966474853706
444,0.020524141447964554,0.10569947849802751,0.09584032520281041,0.5221241098381084
445,0.019997597236457835,0.10609255806802627,0.09632414368593752,0.5222515721908464
446,0.019471053024951116,0.10648563763802502,0.09680796216906462,0.5223790345435843
447,0.0189268764016987,0.10538845347265773,0.09577263551536196,0.5225810337896798
448,0.018382699778446282,0.10429126930729044,0.09473730886165929,0.5227830330357754
449,0.017838523155193867,0.10319408514192314,0.09370198220795663,0.522985032281871
450,0.017306769653999507,0.100905099838001,0.09155006823629311,0.5227672613254118
451,0.016775016152805144,0.09861611453407887,0.0893981542646296,0.5225494903689526
452,0.016243262651610784,0.09632712923015672,0.08724624029296608,0.5223317194124935
453,0.015830091534835514,0.09481240575000699,0.08577401982069335,0.5223906525148939
454,0.015416920418060247,0.09329768226985725,0.08430179934842062,0.5224495856172945
455,0.015003749301284978,0.09178295878970752,0.08282957887614789,0.522508518719695
456,0.014805856524416886,0.09253879842651322,0.08360745882947128,0.5220042455902474
457,0.014607963747548794,0.09329463806331893,0.08438533878279467,0.5214999724607998
458,0.014410070970680701,0.09405047770012463,0.08516321873611805,0.5209956993313523
459,0.014354151531678884,0.09785704859615503,0.0890329972129567,0.5187413087158178
460,0.014298232092677067,0.10166361949218541,0.09290277568979532,0.5164869181002832
461,0.01424231265367525,0.10547019038821581,0.09677255416663397,0.5142325274847488
462,0.014360915457130556,0.11250981072632936,0.10387520714952089,0.5126905169983514
463,0.014479518260585862,0.1195494310644429,0.11097786013240783,0.5111485065119541
464,0.014598121064041169,0.12658905140255644,0.11808051311529476,0.5096064960255567
465,0.014923602293608167,0.13796102189085163,0.12943507422326875,0.5109747107265925
466,0.015249083523175166,0.1493329923791468,0.14078963533124272,0.5123429254276284
467,0.015574564752742165,0.16070496286744199,0.15214419643921673,0.5137111401286641
468,0.01607212551186582,0.1765801730744475,0.168039535492071,0.5145380226279076
469,0.016569686270989478,0.19245538328145304,0.18393487454492533,0.5153649051271512
470,0.017067247030113135,0.20833059348845856,0.1998302135977796,0.5161917876263946
471,0.0175975980010526,0.228068996613438,0.2194782197463317,0.5131232563957228
472,0.018127948971992065,0.24780739973841742,0.23912622589488378,0.5100547251650508
473,0.01865829994293153,0.26754580286339685,0.25877423204343586,0.5069861939343789
474,0.019183535615562835,0.2892482048997065,0.2805097670963831,0.5021626446605296
475,0.019708771288194135,0.31095060693601606,0.3022453021493304,0.49733909538668025
476,0.02023400696082544,0.3326530089723257,0.3239808372022776,0.4925155461128309
477,0.020606001516030044,0.35236397494721344,0.34373137208500226,0.4885674827161007
478,0.02097799607123465,0.37207494092210114,0.3634819069677269,0.48461941931937047
479,0.021349990626439254,0.3917859068969889,0.3832324418504516,0.48067135592264026
480,0.02142091669691771,0.40721358087883514,0.398767561616305,0.4767583502551109
481,0.021491842767396165,0.4226412548606814,0.4143026813821585,0.47284534458758154
482,0.02156276883787462,0.4380689288425276,0.4298378011480119,0.46893233892005215
483,0.021429925080845756,0.4506555720537423,0.44243521545753883,0.46403460233980065
484,0.021297081323816892,0.463242215264957,0.45503262976706577,0.45913686575954915
485,0.02116423756678803,0.4758288584761717,0.4676300440765927,0.45423912917929765
486,0.020938259886677565,0.4874392639873211,0.47934828555267334,0.44720001764014033
487,0.0207122822065671,0.4990496694984706,0.49106652702875403,0.440160906100983
488,0.020486304526456636,0.5106600750096201,0.5027847685048347,0.4331217945618257
489,0.020358684544402306,0.5204787205085412,0.5127019266529602,0.4245760225784243
490,0.020231064562347977,0.5302973660074621,0.5226190848010859,0.41603025059502285
491,0.020103444580293648,0.5401160115063832,0.5325362429492114,0.40748447861162146
492,0.020052685005414083,0.5448552812322868,0.5374973139905642,0.3974499947997544
493,0.020001925430534515,0.5495945509581902,0.5424583850319169,0.3874155109878874
494,0.01995116585565495,0.5543338206840938,0.5474194560732697,0.37738102717602034
495,0.020027467807956993,0.5561235851294164,0.5493829668810195,0.36847297200865514
496,0.02010376976025904,0.5579133495747391,0.5513464776887692,0.35956491684129
497,0.020180071712561084,0.5597031140200618,0.553309988496519,0.3506568616739248
498,0.02037870625987813,0.5610403644117101,0.5547827532599547,0.34221597290046096
499,0.02057734080719517,0.5623776148033585,0.5562555180233903,0.3337750841269971
500,0.020775975354512217,0.5637148651950068,0.5577282827868261,0.32533419535353325
501,0.02109145544468863,0.5663996155200967,0.5605651137691012,0.3171791945632735
502,0.02140693553486505,0.5690843658451865,0.5634019447513765,0.30902419377301377
503,0.021722415625041465,0.5717691161702764,0.5662387757336517,0.300869192982754
504,0.02216561705763004,0.5761287362975649,0.5707336965524513,0.29197024723860776
505,0.02260881849021862,0.5804883564248534,0.575228617371251,0.28307130149446147
506,0.023052019922807195,0.5848479765521419,0.5797235381900506,0.27417235575031523
507,0.023629119020892465,0.589000570262524,0.5840597279331237,0.2651756259261426
508,0.024206218118977735,0.5931531639729061,0.5883959176761968,0.2561788961019699
509,0.024783317217063006,0.5973057576832881,0.5927321074192698,0.24718216627779727
510,0.0256433944203029,0.5998190422659071,0.5953291068153805,0.2379438208732001
511,0.026503471623542794,0.6023323268485262,0.5979261062114913,0.22870547546860293
512,0.02736354882678269,0.6048456114311452,0.600523105607602,0.21946713006400576
513,0.028627522568311987,0.6057593182250798,0.6014891269101613,0.21087014093175668
514,0.029891496309841288,0.6066730250190144,0.6024551482127205,0.20227315179950764
515,0.031155470051370586,0.607586731812949,0.6034211695152798,0.19367616266725857
516,0.032756792818709725,0.6066856909525223,0.6027161846713365,0.18586178909368067
517,0.03435811558604886,0.6057846500920956,0.6020111998273933,0.17804741552010278
518,0.035959438353387996,0.604883609231669,0.6013062149834499,0.1702330419465249
519,0.03787962316072265,0.6047793313960783,0.6012786122791833,0.16363457627050967
520,0.0397998079680573,0.6046750535604876,0.6012510095749167,0.15703611059449443
521,0.041719992775391956,0.6045707757248969,0.6012234068706501,0.15043764491847922
522,0.043391541224693436,0.603950054773377,0.6007167413573139,0.14475979229735927
523,0.04506308967399492,0.6033293338218573,0.6002100758439776,0.13908193967623936
524,0.0467346381232964,0.6027086128703374,0.5997034103306413,0.1334040870551194
525,0.047787638781232565,0.6033670266466609,0.6004285822845404,0.12882060578323606
526,0.04884063943916872,0.6040254404229844,0.6011537542384394,0.1242371245113527
527,0.04989364009710488,0.6046838541993079,0.6018789261923385,0.11965364323946934
528,0.049735952020371364,0.6041589762295461,0.6013601970119279,0.11599367124403984
529,0.04957826394363785,0.6036340982597842,0.6008414678315172,0.11233369924861034
530,0.049420575866904334,0.6031092202900223,0.6003227386511065,0.10867372725318084
531,0.048224861767701355,0.6020846302630641,0.5993183901082312,0.10577525269381738
532,0.04702914766849837,0.6010600402361059,0.5983140415653557,0.10287677813445394
533,0.04583343356929539,0.6000354502091477,0.5973096930224804,0.09997830357509048
534,0.043933958811093785,0.5983538969036056,0.595636426187815,0.0975403157163328
535,0.04203448405289219,0.5966723435980634,0.5939631593531497,0.09510232785757512
536,0.040135009294690584,0.5949907902925213,0.5922898925184843,0.09266433999881744
537,0.0380535322835758,0.5917686794883517,0.588995701230194,0.0902511615862125
538,0.035972055272461015,0.588546568684182,0.5857015099419036,0.08783798317360758
539,0.033890578261346234,0.5853244578800123,0.5824073186536133,0.08542480476100264
540,0.032024630644968896,0.583566454518704,0.5807360248794009,0.08316530705789063
541,0.03015868302859156,0.5818084511573958,0.5790647311051884,0.08090580935477862
542,0.02829273541221422,0.5800504477960875,0.577393437330976,0.0786463116516666
543,0.026721273233871724,0.5760645118878045,0.573417669784999,0.07576046264861604
544,0.025149811055529225,0.5720785759795215,0.5694419022390219,0.07287461364556547
545,0.02357834887718673,0.5680926400712385,0.5654661346930449,0.0699887646425149
546,0.022525031875972195,0.5652894595816695,0.5626734775491298,0.06727183967150292
547,0.02147171487475766,0.5624862790921006,0.5598808204052148,0.06455491470049096
548,0.020418397873543128,0.5596830986025316,0.5570881632612997,0.06183798972947899
549,0.019848333398208455,0.5587921128260314,0.5562642101316713,0.05932715701425577
550,0.01927826892287378,0.5579011270495311,0.5554402570020429,0.05681632429903256
551,0.018708204447539106,0.5570101412730308,0.5546163038724145,0.05430549158380934
552,0.018403334279579395,0.5536469826697866,0.5512295106027574,0.05178861032328053
553,0.018098464111619687,0.5502838240665424,0.5478427173331003,0.04927172906275173
554,0.017793593943659976,0.5469206654632982,0.5444559240634432,0.04675484780222292
555,0.017731011188988725,0.5446269475717882,0.5420675077762102,0.0446530603019155
556,0.017668428434317474,0.5423332296802782,0.5396790914889772,0.04255127280160809
557,0.017605845679646223,0.5400395117887682,0.5372906752017441,0.040449485301300665
558,0.017706037955449505,0.5381179171470682,0.5354491378640007,0.03869761088053113
559,0.017806230231252784,0.5361963225053682,0.5336076005262574,0.03694573645976158
560,0.017906422507056066,0.5342747278636683,0.531766063188514,0.035193862038992045
561,0.018011955918234856,0.5280840438783841,0.5255603992222413,0.033659387600843194
562,0.018117489329413643,0.5218933598931,0.5193547352559685,0.03212491316269435
563,0.018223022740592433,0.5157026759078159,0.5131490712896958,0.0305904387245455
564,0.018642871183339217,0.5137140579033289,0.5112323088640492,0.02955983753699883
565,0.019062719626086,0.5117254398988418,0.5093155464384027,0.02852923634945216
566,0.019482568068832785,0.5097368218943548,0.5073987840127562,0.02749863516190549
567,0.02053383198651781,0.5078621886468523,0.5055612161433383,0.026727901740623384
568,0.02158509590420284,0.5059875553993498,0.5037236482739205,0.025957168319341275
569,0.022636359821887865,0.5041129221518473,0.5018860804045026,0.02518643489805917
570,0.02582357494558207,0.49741243920811923,0.4952375138451031,0.024465360329297324
571,0.02901079006927627,0.4907119562643911,0.4885889472857036,0.023744285760535475
572,0.032198005192970475,0.484011473320663,0.4819403807263042,0.02302321119177363
573,0.041269168378097666,0.48296846884740813,0.48091972853359083,0.02257329147074653
574,0.05034033156322486,0.4819254643741532,0.47989907634087753,0.022123371749719435
